"province","assembly","constituency_number","count"
"Punjab","National Assembly","NA-138",21
"Punjab","National Assembly","NA-139",22
"Punjab","National Assembly","NA-140",14
"Punjab","National Assembly","NA-141",15
"Punjab","National Assembly","NA-142",17
"Punjab","National Assembly","NA-143",18
"Punjab","National Assembly","NA-144",14
"Punjab","National Assembly","NA-145",14
"Punjab","National Assembly","NA-146",18
"Punjab","National Assembly","NA-147",19
"Punjab","National Assembly","NA-148",17
"Punjab","National Assembly","NA-149",16
"Punjab","National Assembly","NA-150",11
"Punjab","National Assembly","NA-151",10
"Punjab","National Assembly","NA-152",12
"Punjab","National Assembly","NA-153",8
"Punjab","National Assembly","NA-154",22
"Punjab","National Assembly","NA-155",25
"Punjab","National Assembly","NA-156",23
"Punjab","National Assembly","NA-157",2
"Punjab","National Assembly","NA-158",10
"Punjab","National Assembly","NA-159",18
"Punjab","National Assembly","NA-160",9
"Punjab","National Assembly","NA-161",20
"Punjab","National Assembly","NA-162",13
"Punjab","National Assembly","NA-163",13
"Punjab","National Assembly","NA-164",15
"Punjab","National Assembly","NA-165",8
"Punjab","National Assembly","NA-166",8
"Punjab","National Assembly","NA-167",19
"Punjab","National Assembly","NA-168",15
"Punjab","National Assembly","NA-169",11
"Punjab","National Assembly","NA-170",21
"Punjab","National Assembly","NA-171",7
"Punjab","National Assembly","NA-172",6
"Punjab","National Assembly","NA-173",9
"Punjab","National Assembly","NA-174",7
"Punjab","National Assembly","NA-175",12
"Punjab","National Assembly","NA-176",18
"Punjab","National Assembly","NA-177",16
"Punjab","National Assembly","NA-178",5
"Punjab","National Assembly","NA-179",14
"Punjab","National Assembly","NA-180",17
"Punjab","National Assembly","NA-181",26
"Punjab","National Assembly","NA-182",24
"Punjab","National Assembly","NA-183",23
"Punjab","National Assembly","NA-184",22
"Punjab","National Assembly","NA-185",8
"Punjab","National Assembly","NA-186",13
"Punjab","National Assembly","NA-187",13
"Punjab","National Assembly","NA-188",12
"Punjab","National Assembly","NA-189",40
"Punjab","National Assembly","NA-190",10
"Punjab","National Assembly","NA-191",16
"Punjab","National Assembly","NA-192",17
"Punjab","National Assembly","NA-193",12
"Punjab","National Assembly","NA-194",13
"Punjab","National Assembly","NA-195",9
"Punjab","National Assembly","NA-52",26
"Punjab","National Assembly","NA-53",50
"Punjab","National Assembly","NA-54",33
"Punjab","National Assembly","NA-55",15
"Punjab","National Assembly","NA-56",11
"Punjab","National Assembly","NA-57",13
"Punjab","National Assembly","NA-58",19
"Punjab","National Assembly","NA-59",15
"Punjab","National Assembly","NA-60",28
"Punjab","National Assembly","NA-61",29
"Punjab","National Assembly","NA-62",26
"Punjab","National Assembly","NA-63",15
"Punjab","National Assembly","NA-64",16
"Punjab","National Assembly","NA-65",15
"Punjab","National Assembly","NA-66",16
"Punjab","National Assembly","NA-67",17
"Punjab","National Assembly","NA-68",17
"Punjab","National Assembly","NA-69",22
"Punjab","National Assembly","NA-70",15
"Punjab","National Assembly","NA-71",17
"Punjab","National Assembly","NA-72",5
"Punjab","National Assembly","NA-73",20
"Punjab","National Assembly","NA-74",22
"Punjab","National Assembly","NA-75",19
"Punjab","National Assembly","NA-76",16
"Punjab","National Assembly","NA-77",22
"Punjab","National Assembly","NA-78",19
"Punjab","National Assembly","NA-79",21
"Punjab","National Assembly","NA-80",19
"Punjab","National Assembly","NA-81",20
"Punjab","National Assembly","NA-82",25
"Punjab","National Assembly","NA-83",12
"Punjab","National Assembly","NA-84",14
"Punjab","National Assembly","NA-85",22
"Punjab","National Assembly","NA-86",15
"Punjab","National Assembly","NA-87",23
"Punjab","National Assembly","NA-88",18
"Punjab","National Assembly","NA-89",6
"Punjab","National Assembly","NA-90",26
"Punjab","National Assembly","NA-91",16
"Punjab","National Assembly","NA-92",17
"Punjab","National Assembly","NA-93",14
"Punjab","National Assembly","NA-94",13
"Punjab","National Assembly","NA-95",16
"Punjab","National Assembly","NA-96",9
"Punjab","National Assembly","NA-97",17
"Punjab","National Assembly","NA-98",13
"Punjab","National Assembly","NA-99",16
"Punjab","National Assembly","Womens List",172
"Punjab","Provincial Assembly","Minority List",141
"Punjab","Provincial Assembly","PP-1",7
